style,color,status,season,ohs
JS1879              ,CREAM/ORN RED FLORAL,SOLDOUT             ,2019 SS             ,65.0
ST1211              ,BLACK               ,SOLDOUT             ,ALL                 ,14.0
BD1045D             ,OLIVE MULTI         ,SOLDOUT             ,F/W 2020            ,435.0
JD2443N             ,MULTI FLORAL        ,SOLDOUT             ,F/W 2020            ,144.0
JD2813R             ,WHITE FLORAL        ,SOLDOUT             ,F/W 2020            ,251.0
JD3065              ,WHITE FLORAL        ,SOLDOUT             ,F/W 2020            ,32.0
JT1944              ,WHITE               ,SOLDOUT             ,S/S 2019            ,919.0
SD2082              ,PINK                ,SOLDOUT             ,S/S 2019            ,608.0
BD1059AVC           ,MULTI FLORAL        ,SOLDOUT             ,S/S 2020            ,453.0
BD1552              ,RAINBOW             ,SOLDOUT             ,S/S 2020            ,606.0
BJ2492              ,BERRY MULTI         ,SOLDOUT             ,S/S 2021            ,13.0
BT2700              ,WHITE MULTI         ,SOLDOUT             ,S/S 2021            ,125.0
SD2679B             ,WHITE/MULTI FLORAL  ,SOLDOUT             ,S/S 2021            ,183.0
JT3583A             ,CREAM               ,SOLDOUT             ,SS22                ,455.0
JT3747              ,PINK                ,SOLDOUT             ,SS22                ,43.0
